NAME,PARTIES
CARLUCCI Gabriella,UNIONE DI CENTRO PER IL TERZO POLO
CARRA Enzo,UNIONE DI CENTRO PER IL TERZO POLO
CARRA Marco,PARTITO DEMOCRATICO
CASERO Luigi,POPOLO DELLA LIBERTA'
CASINI Pier Ferdinando,UNIONE DI CENTRO PER IL TERZO POLO
CASSINELLI Roberto,POPOLO DELLA LIBERTA'
CASTAGNETTI Pierluigi,PARTITO DEMOCRATICO
CASTELLANI Carla,POPOLO DELLA LIBERTA'
CASTIELLO Giuseppina,POPOLO DELLA LIBERTA'
CATANOSO GENOESE Francesco Detto Basilio Catanoso,POPOLO DELLA LIBERTA'
CATONE Giampiero,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
CATTANEO Valerio,POPOLO DELLA LIBERTA'
CAUSI Marco,PARTITO DEMOCRATICO
CAVALLARO Mario,PARTITO DEMOCRATICO
CAVALLOTTO Davide,LEGA NORD PADANIA
CAZZOLA Giuliano,MISTO
CECCACCI RUBINO Fiorella,POPOLO DELLA LIBERTA'
CECCUZZI Franco,PARTITO DEMOCRATICO
CENNI Susanna,PARTITO DEMOCRATICO
CENTEMERO Elena,POPOLO DELLA LIBERTA'
CERA Angelo,UNIONE DI CENTRO PER IL TERZO POLO
CERONI Remigio,POPOLO DELLA LIBERTA'
CESA Lorenzo,UNIONE DI CENTRO PER IL TERZO POLO
CESARIO Bruno,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
CESARO Luigi,POPOLO DELLA LIBERTA'
CHIAPPORI Giacomo,LEGA NORD PADANIA
CICCANTI Amedeo,UNIONE DI CENTRO PER IL TERZO POLO
CICCHITTO Fabrizio,POPOLO DELLA LIBERTA'
CICCIOLI Carlo,POPOLO DELLA LIBERTA'
CICU Salvatore,POPOLO DELLA LIBERTA'
CILLUFFO Francesca,PARTITO DEMOCRATICO
CIMADORO Gabriele,ITALIA DEI VALORI
CIOCCHETTI Luciano,UNIONE DI CENTRO
CIRIELLI Edmondo,POPOLO DELLA LIBERTA'
CIRIELLO Pasquale,PARTITO DEMOCRATICO
CODURELLI Lucia,PARTITO DEMOCRATICO
COLANINNO Matteo,PARTITO DEMOCRATICO
COLOMBO Furio,PARTITO DEMOCRATICO
COLUCCI Francesco,POPOLO DELLA LIBERTA'
COMAROLI Silvana Andreina,LEGA NORD PADANIA
COMMERCIO Roberto Mario Sergio,MISTO
COMPAGNON Angelo,UNIONE DI CENTRO PER IL TERZO POLO
CONCIA Anna Paola,PARTITO DEMOCRATICO
CONSIGLIO Nunziante,LEGA NORD PADANIA
CONSOLO Giuseppe,FUTURO E LIBERTA' PER IL TERZO POLO
CONTE Gianfranco,POPOLO DELLA LIBERTA'
CONTE Giorgio,FUTURO E LIBERTA' PER IL TERZO POLO
CONTENTO Manlio,POPOLO DELLA LIBERTA'
CORSARO Massimo Enrico,POPOLO DELLA LIBERTA'
CORSINI Paolo,PARTITO DEMOCRATICO
COSCIA Maria,PARTITO DEMOCRATICO
COSENTINO Nicola,POPOLO DELLA LIBERTA'
COSENZA Giulia,POPOLO DELLA LIBERTA'
COSSIGA Giuseppe,POPOLO DELLA LIBERTA'
COSTA Enrico,POPOLO DELLA LIBERTA'
COSTANTINI Carlo,ITALIA DEI VALORI
COTA Roberto,LEGA NORD PADANIA
CRAXI Stefania Gabriella Anastasia,MISTO
CRIMI Rocco,POPOLO DELLA LIBERTA'
CRISTALDI Nicolo',POPOLO DELLA LIBERTA'
CROLLA Simone Andrea,POPOLO DELLA LIBERTA'
CROSETTO Guido,POPOLO DELLA LIBERTA'
CROSIO Jonny,LEGA NORD PADANIA
CUOMO Antonio,PARTITO DEMOCRATICO
CUPERLO Giovanni,PARTITO DEMOCRATICO
D'ALEMA Massimo,PARTITO DEMOCRATICO
