NAME,PARTIES
ACQUAROLI Francesco,FRATELLI D'ITALIA
ACUNZO Nicola,MOVIMENTO 5 STELLE
ADELIZZI Cosimo,MOVIMENTO 5 STELLE
AIELLO Davide,MOVIMENTO 5 STELLE
AIELLO Piera,MOVIMENTO 5 STELLE
ALAIMO Roberta,MOVIMENTO 5 STELLE
ALEMANNO Maria Soave,MOVIMENTO 5 STELLE
AMITRANO Alessandro,MOVIMENTO 5 STELLE
ANDREUZZA Giorgia,LEGA - SALVINI PREMIER
ANGELUCCI Antonio,FORZA ITALIA - BERLUSCONI PRESIDENTE
ANGIOLA Nunzio,MOVIMENTO 5 STELLE
ANNIBALI Lucia,PARTITO DEMOCRATICO
ANZALDI Michele,PARTITO DEMOCRATICO
APREA Valentina,FORZA ITALIA - BERLUSCONI PRESIDENTE
APRILE Nadia,MOVIMENTO 5 STELLE
ARESTA Giovanni Luca,MOVIMENTO 5 STELLE
ASCANI Anna,PARTITO DEMOCRATICO
ASCARI Stefania,MOVIMENTO 5 STELLE
AZZOLINA Lucia,MOVIMENTO 5 STELLE
BADOLE Mirco,LEGA - SALVINI PREMIER
BAGNASCO Roberto,FORZA ITALIA - BERLUSCONI PRESIDENTE
BALDELLI Simone,FORZA ITALIA - BERLUSCONI PRESIDENTE
BALDINO Vittoria,MOVIMENTO 5 STELLE
BARATTO Raffaele,FORZA ITALIA - BERLUSCONI PRESIDENTE
BARBUTO Elisabetta Maria,MOVIMENTO 5 STELLE
BARELLI Paolo,FORZA ITALIA - BERLUSCONI PRESIDENTE
BARONI Anna Lisa,FORZA ITALIA - BERLUSCONI PRESIDENTE
BARONI Massimo Enrico,MOVIMENTO 5 STELLE
BARTOLOZZI Giusi,FORZA ITALIA - BERLUSCONI PRESIDENTE
BARZOTTI Valentina,MOVIMENTO 5 STELLE
BASINI Giuseppe,LEGA - SALVINI PREMIER
BATTELLI Sergio,MOVIMENTO 5 STELLE
BATTILOCCHIO Alessandro,FORZA ITALIA - BERLUSCONI PRESIDENTE
BAZOLI Alfredo,PARTITO DEMOCRATICO
BAZZARO Alex,LEGA - SALVINI PREMIER
BELLA Marco,MOVIMENTO 5 STELLE
BELLACHIOMA Giuseppe Ercole,LEGA - SALVINI PREMIER
BELLUCCI Maria Teresa,FRATELLI D'ITALIA
BELOTTI Daniele,LEGA - SALVINI PREMIER
BENAMATI Gianluca,PARTITO DEMOCRATICO
BENDINELLI Davide,FORZA ITALIA - BERLUSCONI PRESIDENTE
BENEDETTI Silvia,MISTO-SOGNO ITALIA-10 VOLTE MEGLIO
BENIGNI Stefano,FORZA ITALIA - BERLUSCONI PRESIDENTE
BENVENUTO Alessandro Manuel,LEGA - SALVINI PREMIER
BERARDINI Fabio,MOVIMENTO 5 STELLE
BERGAMINI Deborah,FORZA ITALIA - BERLUSCONI PRESIDENTE
BERLINGHIERI Marina,PARTITO DEMOCRATICO
BERSANI Pier Luigi,LIBERI E UGUALI
BERTI Francesco,MOVIMENTO 5 STELLE
BIANCHI Matteo Luigi,LEGA - SALVINI PREMIER
BIANCOFIORE Michaela,FORZA ITALIA - BERLUSCONI PRESIDENTE
BIGNAMI Galeazzo,FORZA ITALIA - BERLUSCONI PRESIDENTE
BILLI Simone,LEGA - SALVINI PREMIER
BILOTTI Anna,MOVIMENTO 5 STELLE
BINELLI Diego,LEGA - SALVINI PREMIER
BISA Ingrid,LEGA - SALVINI PREMIER
BITONCI Massimo,LEGA - SALVINI PREMIER
BOCCIA Francesco,PARTITO DEMOCRATICO
BOLDI Rossana,LEGA - SALVINI PREMIER
BOLDRINI Laura,LIBERI E UGUALI
BOLOGNA Fabiola,MOVIMENTO 5 STELLE
BONAFEDE Alfonso,MOVIMENTO 5 STELLE
BOND Dario,FORZA ITALIA - BERLUSCONI PRESIDENTE
BONIARDI Fabio Massimo,LEGA - SALVINI PREMIER
BONOMO Francesca,PARTITO DEMOCRATICO
BORDO Michele,PARTITO DEMOCRATICO
BORDONALI Simona,LEGA - SALVINI PREMIER
BORGHESE Mario Alejandro,MISTO-MAIE - MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO
BORGHI Claudio,LEGA - SALVINI PREMIER
BORGHI Enrico,PARTITO DEMOCRATICO
BOSCHI Maria Elena,PARTITO DEMOCRATICO
BRAGA Chiara,PARTITO DEMOCRATICO
BRAMBILLA Michela Vittoria,FORZA ITALIA - BERLUSCONI PRESIDENTE
BRESCIA Giuseppe,MOVIMENTO 5 STELLE
BRUNETTA Renato,FORZA ITALIA - BERLUSCONI PRESIDENTE
BRUNO Raffaele,MOVIMENTO 5 STELLE
BRUNO BOSSIO Vincenza,PARTITO DEMOCRATICO
BUBISUTTI Aurelia,LEGA - SALVINI PREMIER
BUCALO Carmela,FRATELLI D'ITALIA
BUFFAGNI Stefano,MOVIMENTO 5 STELLE
BUOMPANE Giuseppe,MOVIMENTO 5 STELLE
BURATTI Umberto,PARTITO DEMOCRATICO
BUSINAROLO Francesca,MOVIMENTO 5 STELLE
BUTTI Alessio,FRATELLI D'ITALIA
CABRAS Pino,MOVIMENTO 5 STELLE
CADEDDU Luciano,MOVIMENTO 5 STELLE
CAFFARATTO Gualtiero,LEGA - SALVINI PREMIER
CAIATA Salvatore,FRATELLI D'ITALIA
CALABRIA Annagrazia,FORZA ITALIA - BERLUSCONI PRESIDENTE
CAMPANA Micaela,PARTITO DEMOCRATICO
CANCELLERI Azzurra Pia Maria,MOVIMENTO 5 STELLE
CANNATELLI Pasquale,FORZA ITALIA - BERLUSCONI PRESIDENTE
CANNIZZARO Francesco,FORZA ITALIA - BERLUSCONI PRESIDENTE
CANTALAMESSA Gianluca,LEGA - SALVINI PREMIER
CANTINI Laura,PARTITO DEMOCRATICO
CANTONE Carla,PARTITO DEMOCRATICO
CANTONE Luciano,MOVIMENTO 5 STELLE
CAON Roberto,FORZA ITALIA - BERLUSCONI PRESIDENTE
CAPARVI Virginio,LEGA - SALVINI PREMIER
CAPITANIO Massimiliano,LEGA - SALVINI PREMIER
CAPPELLACCI Ugo,FORZA ITALIA - BERLUSCONI PRESIDENTE
CAPPELLANI Santi,MOVIMENTO 5 STELLE
CARABETTA Luca,MOVIMENTO 5 STELLE
CARBONARO Alessandra,MOVIMENTO 5 STELLE
CARDINALE Daniela,PARTITO DEMOCRATICO
CARE' Nicola,PARTITO DEMOCRATICO
CARELLI Emilio,MOVIMENTO 5 STELLE
CARETTA Maria Cristina,FRATELLI D'ITALIA
CARFAGNA Maria Rosaria,FORZA ITALIA - BERLUSCONI PRESIDENTE
CARINELLI Paola,MOVIMENTO 5 STELLE
CARNEVALI Elena,PARTITO DEMOCRATICO
CARRARA Maurizio,FORZA ITALIA - BERLUSCONI PRESIDENTE
CASA Vittoria,MOVIMENTO 5 STELLE
CASCIELLO Luigi,FORZA ITALIA - BERLUSCONI PRESIDENTE
CASINO Michele,FORZA ITALIA - BERLUSCONI PRESIDENTE
CASO Andrea,MOVIMENTO 5 STELLE
CASSESE Gianpaolo,MOVIMENTO 5 STELLE
