NAME,PARTIES
ABRIGNANI Ignazio,NOI CON L'ITALIA-SCELTA CIVICA PER L'ITALIA-MAIE
ADORNATO Ferdinando,ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA
AGOSTINELLI Donatella,MOVIMENTO 5 STELLE
AGOSTINI Luciano,PARTITO DEMOCRATICO
AGOSTINI Roberta,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA-LIBERI E UGUALI
AIELLO Ferdinando,PARTITO DEMOCRATICO
AIRAUDO Giorgio,SINISTRA ITALIANA - SINISTRA ECOLOGIA LIBERTA' - POSSIBILE - LIBERI E UGUALI
ALBANELLA Luisella,PARTITO DEMOCRATICO
ALBERTI Ferdinando,MOVIMENTO 5 STELLE
ALBINI Tea,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA-LIBERI E UGUALI
ALFANO Angelino,ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA
ALFANO Gioacchino,ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA
ALFREIDER Daniel,MISTO-MINORANZE LINGUISTICHE
ALLASIA Stefano,LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI
ALLI Paolo,ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA
ALTIERI Trifone,LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI
AMATO Maria,PARTITO DEMOCRATICO
AMENDOLA Vincenzo,PARTITO DEMOCRATICO
AMICI Sesa,PARTITO DEMOCRATICO
AMODDIO Sofia,PARTITO DEMOCRATICO
ANGELUCCI Antonio,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
ANTEZZA Maria,PARTITO DEMOCRATICO
ANZALDI Michele,PARTITO DEMOCRATICO
ARCHI Bruno,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
ARGENTIN Ileana,PARTITO DEMOCRATICO
ARLOTTI Tiziano,PARTITO DEMOCRATICO
ARTINI Massimo,MISTO-ALTERNATIVA LIBERA-TUTTI INSIEME PER L'ITALIA
ASCANI Anna,PARTITO DEMOCRATICO
ATTAGUILE Angelo,LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI
AUCI Ernesto,MISTO - non iscritto ad alcuna componente
BALDASSARRE Marco,MISTO-ALTERNATIVA LIBERA-TUTTI INSIEME PER L'ITALIA
BALDELLI Simone,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
BALDUZZI Renato,SCELTA CIVICA PER L'ITALIA
BARADELLO Maurizio,DEMOCRAZIA SOLIDALE - CENTRO DEMOCRATICO
BARBANTI Sebastiano,PARTITO DEMOCRATICO
BARETTA Pier Paolo,PARTITO DEMOCRATICO
BARGERO Cristina,PARTITO DEMOCRATICO
BARONI Massimo Enrico,MOVIMENTO 5 STELLE
BARUFFI Davide,PARTITO DEMOCRATICO
BASILIO Tatiana,MOVIMENTO 5 STELLE
BASSO Lorenzo,PARTITO DEMOCRATICO
BATTAGLIA Demetrio,PARTITO DEMOCRATICO
BATTELLI Sergio,MOVIMENTO 5 STELLE
BAZOLI Alfredo,PARTITO DEMOCRATICO
BECATTINI Lorenzo,PARTITO DEMOCRATICO
BECHIS Eleonora,MISTO-ALTERNATIVA LIBERA-TUTTI INSIEME PER L'ITALIA
BELLANOVA Teresa,PARTITO DEMOCRATICO
BENAMATI Gianluca,PARTITO DEMOCRATICO
BENEDETTI Silvia,MOVIMENTO 5 STELLE
BENI Paolo,PARTITO DEMOCRATICO
BERGAMINI Deborah,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
BERGONZI Marco,PARTITO DEMOCRATICO
BERLINGHIERI Marina,PARTITO DEMOCRATICO
BERNARDO Maurizio,PARTITO DEMOCRATICO
BERNINI Massimiliano,MOVIMENTO 5 STELLE
BERNINI Paolo,MOVIMENTO 5 STELLE
BERRETTA Giuseppe,PARTITO DEMOCRATICO
BERSANI Pier Luigi,ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA-LIBERI E UGUALI
BIANCHI Dorina,ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA
BIANCHI Nicola,MOVIMENTO 5 STELLE
BIANCHI Stella,PARTITO DEMOCRATICO
BIANCOFIORE Michaela,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE
BIANCONI Maurizio,MISTO - non iscritto ad alcuna componente
